TestId,TestDate,EventType,CalvingDate,BirthDate,Parity,DaysInMilk,DailyMilkingYield
1770,2019-05-21,MilkRecording,2018-10-07,2010-08-18,6,226,32.7
1770,2019-06-18,MilkRecording,2018-10-07,2010-08-18,6,254,34.9
1770,2019-07-16,MilkRecording,2018-10-07,2010-08-18,6,282,30.4
1771,2019-11-05,MilkRecording,2019-10-29,2010-08-18,7,7,17.5
1771,2019-12-03,MilkRecording,2019-10-29,2010-08-18,7,35,29.8
1771,2019-12-31,MilkRecording,2019-10-29,2010-08-18,7,63,35.4
1771,2020-01-28,MilkRecording,2019-10-29,2010-08-18,7,91,35.6
1771,2020-02-26,MilkRecording,2019-10-29,2010-08-18,7,120,34
1771,2020-03-31,MilkRecording,2019-10-29,2010-08-18,7,154,29.4
1771,2020-04-28,MilkRecording,2019-10-29,2010-08-18,7,182,29
1771,2020-05-26,MilkRecording,2019-10-29,2010-08-18,7,210,28.9
1771,2020-06-23,MilkRecording,2019-10-29,2010-08-18,7,238,29.1
1771,2020-07-21,MilkRecording,2019-10-29,2010-08-18,7,266,27.2
1771,2020-08-18,MilkRecording,2019-10-29,2010-08-18,7,294,21
1863,2018-07-31,MilkRecording,2018-07-14,2011-05-23,5,17,31.3
1863,2018-08-28,MilkRecording,2018-07-14,2011-05-23,5,45,23.6
1863,2018-09-25,MilkRecording,2018-07-14,2011-05-23,5,73,28.8
1863,2018-10-23,MilkRecording,2018-07-14,2011-05-23,5,101,39
1863,2018-11-20,MilkRecording,2018-07-14,2011-05-23,5,129,31.9
1863,2018-12-18,MilkRecording,2018-07-14,2011-05-23,5,157,35
1863,2019-01-15,MilkRecording,2018-07-14,2011-05-23,5,185,30.1
1863,2019-02-12,MilkRecording,2018-07-14,2011-05-23,5,213,31
1863,2019-03-12,MilkRecording,2018-07-14,2011-05-23,5,241,33.7
1863,2019-04-09,MilkRecording,2018-07-14,2011-05-23,5,269,29.4
1900,2018-05-08,MilkRecording,2018-05-05,2012-02-19,4,3,28.7
1900,2018-06-05,MilkRecording,2018-05-05,2012-02-19,4,31,29.8
1900,2018-07-03,MilkRecording,2018-05-05,2012-02-19,4,59,56
1900,2018-07-31,MilkRecording,2018-05-05,2012-02-19,4,87,49.2
1900,2018-08-28,MilkRecording,2018-05-05,2012-02-19,4,115,47.3
1900,2018-09-25,MilkRecording,2018-05-05,2012-02-19,4,143,37.8
1900,2018-10-23,MilkRecording,2018-05-05,2012-02-19,4,171,37.6
1900,2018-11-20,MilkRecording,2018-05-05,2012-02-19,4,199,36.6
1900,2018-12-18,MilkRecording,2018-05-05,2012-02-19,4,227,28.2
1900,2019-01-15,MilkRecording,2018-05-05,2012-02-19,4,255,30.3
1900,2019-02-12,MilkRecording,2018-05-05,2012-02-19,4,283,31.9
1920,2019-04-09,MilkRecording,2019-03-15,2012-03-31,5,25,42
1920,2019-05-21,MilkRecording,2019-03-15,2012-03-31,5,67,53.8
1920,2019-06-18,MilkRecording,2019-03-15,2012-03-31,5,95,58.3
1920,2019-07-16,MilkRecording,2019-03-15,2012-03-31,5,123,49.7
1920,2019-08-13,MilkRecording,2019-03-15,2012-03-31,5,151,37.5
1920,2019-09-10,MilkRecording,2019-03-15,2012-03-31,5,179,44.1
1920,2019-10-08,MilkRecording,2019-03-15,2012-03-31,5,207,40.2
1920,2019-11-05,MilkRecording,2019-03-15,2012-03-31,5,235,37.4
1920,2019-12-03,MilkRecording,2019-03-15,2012-03-31,5,263,33.8
1920,2019-12-31,MilkRecording,2019-03-15,2012-03-31,5,291,31.3
1926,2018-11-20,MilkRecording,2018-10-31,2012-04-08,5,20,31.8
1926,2018-12-18,MilkRecording,2018-10-31,2012-04-08,5,48,41.9
1926,2019-01-15,MilkRecording,2018-10-31,2012-04-08,5,76,45.3
1926,2019-02-12,MilkRecording,2018-10-31,2012-04-08,5,104,41
1926,2019-03-12,MilkRecording,2018-10-31,2012-04-08,5,132,35.3
1926,2019-04-09,MilkRecording,2018-10-31,2012-04-08,5,160,26.9
1926,2019-05-21,MilkRecording,2018-10-31,2012-04-08,5,202,26.8
1926,2019-06-18,MilkRecording,2018-10-31,2012-04-08,5,230,22.7
1926,2019-07-16,MilkRecording,2018-10-31,2012-04-08,5,258,30.7
1926,2019-08-13,MilkRecording,2018-10-31,2012-04-08,5,286,24.1
1955,2019-01-15,MilkRecording,2019-01-01,2012-07-20,5,14,43.2
1955,2019-02-12,MilkRecording,2019-01-01,2012-07-20,5,42,61.3
1955,2019-03-12,MilkRecording,2019-01-01,2012-07-20,5,70,66.7
1955,2019-04-09,MilkRecording,2019-01-01,2012-07-20,5,98,64.1
1955,2019-05-21,MilkRecording,2019-01-01,2012-07-20,5,140,60.1
1955,2019-06-18,MilkRecording,2019-01-01,2012-07-20,5,168,55.3
1955,2019-07-16,MilkRecording,2019-01-01,2012-07-20,5,196,50.4
1955,2019-08-13,MilkRecording,2019-01-01,2012-07-20,5,224,46.3
1955,2019-09-10,MilkRecording,2019-01-01,2012-07-20,5,252,42.3
1955,2019-10-08,MilkRecording,2019-01-01,2012-07-20,5,280,35.1
1957,2021-06-22,MilkRecording,2021-06-18,2012-07-20,7,4,25.2
1957,2021-07-20,MilkRecording,2021-06-18,2012-07-20,7,32,50.9
1957,2021-08-25,MilkRecording,2021-06-18,2012-07-20,7,68,42.9
1957,2021-09-22,MilkRecording,2021-06-18,2012-07-20,7,96,37.8
1957,2021-10-19,MilkRecording,2021-06-18,2012-07-20,7,123,33.6
1957,2021-11-16,MilkRecording,2021-06-18,2012-07-20,7,151,38
1957,2021-12-14,MilkRecording,2021-06-18,2012-07-20,7,179,32.2
1957,2022-01-11,MilkRecording,2021-06-18,2012-07-20,7,207,27.8
1957,2022-02-08,MilkRecording,2021-06-18,2012-07-20,7,235,30.6
1957,2022-03-08,MilkRecording,2021-06-18,2012-07-20,7,263,28.8
1957,2022-04-05,MilkRecording,2021-06-18,2012-07-20,7,291,26.3
1979,2019-12-03,MilkRecording,2019-11-15,2012-10-26,5,18,41.8
1979,2019-12-31,MilkRecording,2019-11-15,2012-10-26,5,46,45.7
1979,2020-01-28,MilkRecording,2019-11-15,2012-10-26,5,74,41.2
1979,2020-02-26,MilkRecording,2019-11-15,2012-10-26,5,103,45.6
1979,2020-03-31,MilkRecording,2019-11-15,2012-10-26,5,137,40.6
1979,2020-04-28,MilkRecording,2019-11-15,2012-10-26,5,165,39.1
1979,2020-05-26,MilkRecording,2019-11-15,2012-10-26,5,193,34.3
1979,2020-06-23,MilkRecording,2019-11-15,2012-10-26,5,221,34.5
1979,2020-07-21,MilkRecording,2019-11-15,2012-10-26,5,249,31.3
1979,2020-08-18,MilkRecording,2019-11-15,2012-10-26,5,277,25.4
1979,2020-09-15,MilkRecording,2019-11-15,2012-10-26,5,305,20.7
1999,2018-12-18,MilkRecording,2018-11-22,2013-01-30,4,26,59.3
1999,2019-01-15,MilkRecording,2018-11-22,2013-01-30,4,54,63.2
1999,2019-02-12,MilkRecording,2018-11-22,2013-01-30,4,82,62
1999,2019-03-12,MilkRecording,2018-11-22,2013-01-30,4,110,54.4
1999,2019-04-09,MilkRecording,2018-11-22,2013-01-30,4,138,55.5
1999,2019-05-21,MilkRecording,2018-11-22,2013-01-30,4,180,40
1999,2019-06-18,MilkRecording,2018-11-22,2013-01-30,4,208,36.6
1999,2019-07-16,MilkRecording,2018-11-22,2013-01-30,4,236,35.3
1999,2019-08-13,MilkRecording,2018-11-22,2013-01-30,4,264,23.8
1999,2019-09-10,MilkRecording,2018-11-22,2013-01-30,4,292,24.3
2016,2018-07-31,MilkRecording,2018-07-12,2013-03-24,4,19,47.6
2016,2018-08-28,MilkRecording,2018-07-12,2013-03-24,4,47,48.8
2016,2018-09-25,MilkRecording,2018-07-12,2013-03-24,4,75,40.9
2016,2018-10-23,MilkRecording,2018-07-12,2013-03-24,4,103,35.7
2016,2018-11-20,MilkRecording,2018-07-12,2013-03-24,4,131,33.6
2016,2018-12-18,MilkRecording,2018-07-12,2013-03-24,4,159,31
2016,2019-01-15,MilkRecording,2018-07-12,2013-03-24,4,187,29.5
2016,2019-02-12,MilkRecording,2018-07-12,2013-03-24,4,215,30.7
2016,2019-03-12,MilkRecording,2018-07-12,2013-03-24,4,243,26.1
2016,2019-04-09,MilkRecording,2018-07-12,2013-03-24,4,271,26.6
2038,2018-05-08,MilkRecording,2018-04-21,2013-05-10,4,17,52.2
2038,2018-06-05,MilkRecording,2018-04-21,2013-05-10,4,45,59.3
2038,2018-07-03,MilkRecording,2018-04-21,2013-05-10,4,73,56.2
2038,2018-07-31,MilkRecording,2018-04-21,2013-05-10,4,101,37.8
2038,2018-08-28,MilkRecording,2018-04-21,2013-05-10,4,129,44.4
2038,2018-09-25,MilkRecording,2018-04-21,2013-05-10,4,157,38.5
2038,2018-10-23,MilkRecording,2018-04-21,2013-05-10,4,185,23.4
2038,2018-11-20,MilkRecording,2018-04-21,2013-05-10,4,213,33.9
2038,2018-12-18,MilkRecording,2018-04-21,2013-05-10,4,241,30.2
2038,2019-01-15,MilkRecording,2018-04-21,2013-05-10,4,269,28.4
2038,2019-02-12,MilkRecording,2018-04-21,2013-05-10,4,297,25.6
2058,2019-02-12,MilkRecording,2019-01-25,2013-06-11,4,18,51.6
2058,2019-03-12,MilkRecording,2019-01-25,2013-06-11,4,46,68.1
2058,2019-04-09,MilkRecording,2019-01-25,2013-06-11,4,74,64.8
2058,2019-05-21,MilkRecording,2019-01-25,2013-06-11,4,116,45.5
2058,2019-06-18,MilkRecording,2019-01-25,2013-06-11,4,144,33.2
2058,2019-07-16,MilkRecording,2019-01-25,2013-06-11,4,172,39.6
2058,2019-08-13,MilkRecording,2019-01-25,2013-06-11,4,200,31.3
2058,2019-09-10,MilkRecording,2019-01-25,2013-06-11,4,228,29.6
2058,2019-10-08,MilkRecording,2019-01-25,2013-06-11,4,256,34.1
2058,2019-11-05,MilkRecording,2019-01-25,2013-06-11,4,284,23
2059,2020-09-15,MilkRecording,2020-09-09,2013-06-11,5,6,35.6
2059,2020-10-14,MilkRecording,2020-09-09,2013-06-11,5,35,54.6
2059,2020-11-10,MilkRecording,2020-09-09,2013-06-11,5,62,49.8
2059,2020-12-08,MilkRecording,2020-09-09,2013-06-11,5,90,41.5
2059,2021-01-05,MilkRecording,2020-09-09,2013-06-11,5,118,43.1
2059,2021-02-02,MilkRecording,2020-09-09,2013-06-11,5,146,38.1
2059,2021-03-02,MilkRecording,2020-09-09,2013-06-11,5,174,34.4
2059,2021-03-30,MilkRecording,2020-09-09,2013-06-11,5,202,31.5
2059,2021-04-27,MilkRecording,2020-09-09,2013-06-11,5,230,28.4
2059,2021-05-25,MilkRecording,2020-09-09,2013-06-11,5,258,30.6
2059,2021-06-22,MilkRecording,2020-09-09,2013-06-11,5,286,27
2072,2019-06-18,MilkRecording,2019-05-24,2013-07-17,4,25,51.1
2072,2019-07-16,MilkRecording,2019-05-24,2013-07-17,4,53,47.2
2072,2019-08-13,MilkRecording,2019-05-24,2013-07-17,4,81,51.9
2072,2019-09-10,MilkRecording,2019-05-24,2013-07-17,4,109,48.7
2072,2019-10-08,MilkRecording,2019-05-24,2013-07-17,4,137,47.2
2072,2019-11-05,MilkRecording,2019-05-24,2013-07-17,4,165,40.3
2072,2019-12-03,MilkRecording,2019-05-24,2013-07-17,4,193,39.7
2072,2019-12-31,MilkRecording,2019-05-24,2013-07-17,4,221,34.8
2072,2020-01-28,MilkRecording,2019-05-24,2013-07-17,4,249,31.5
2072,2020-02-26,MilkRecording,2019-05-24,2013-07-17,4,278,27.7
2096,2019-02-12,MilkRecording,2019-01-30,2013-09-07,4,13,41.7
2096,2019-03-12,MilkRecording,2019-01-30,2013-09-07,4,41,48.7
2096,2019-04-09,MilkRecording,2019-01-30,2013-09-07,4,69,49.2
2096,2019-05-21,MilkRecording,2019-01-30,2013-09-07,4,111,10.3
2096,2019-06-18,MilkRecording,2019-01-30,2013-09-07,4,139,54.5
2096,2019-07-16,MilkRecording,2019-01-30,2013-09-07,4,167,45.8
2096,2019-08-13,MilkRecording,2019-01-30,2013-09-07,4,195,43.2
2096,2019-09-10,MilkRecording,2019-01-30,2013-09-07,4,223,44.7
2096,2019-10-08,MilkRecording,2019-01-30,2013-09-07,4,251,32
2096,2019-11-05,MilkRecording,2019-01-30,2013-09-07,4,279,38.6
2098,2021-08-25,MilkRecording,2021-07-29,2013-09-07,6,27,51.8
2098,2021-09-22,MilkRecording,2021-07-29,2013-09-07,6,55,49.8
2098,2021-10-19,MilkRecording,2021-07-29,2013-09-07,6,82,41
2098,2021-11-16,MilkRecording,2021-07-29,2013-09-07,6,110,42.9
2098,2021-12-14,MilkRecording,2021-07-29,2013-09-07,6,138,37.3
2098,2022-01-11,MilkRecording,2021-07-29,2013-09-07,6,166,32.3
2098,2022-02-08,MilkRecording,2021-07-29,2013-09-07,6,194,34.1
2098,2022-03-08,MilkRecording,2021-07-29,2013-09-07,6,222,35.2
2098,2022-04-05,MilkRecording,2021-07-29,2013-09-07,6,250,33.3
2098,2022-05-15,MilkRecording,2021-07-29,2013-09-07,6,290,28
2098,2022-05-24,MilkRecording,2021-07-29,2013-09-07,6,299,23.1
2107,2018-06-05,MilkRecording,2018-05-24,2013-10-08,3,12,42.3
2107,2018-07-03,MilkRecording,2018-05-24,2013-10-08,3,40,30.9
2107,2018-07-31,MilkRecording,2018-05-24,2013-10-08,3,68,40
2107,2018-08-28,MilkRecording,2018-05-24,2013-10-08,3,96,36
2107,2018-09-25,MilkRecording,2018-05-24,2013-10-08,3,124,33.4
2107,2018-10-23,MilkRecording,2018-05-24,2013-10-08,3,152,30.5
2107,2018-11-20,MilkRecording,2018-05-24,2013-10-08,3,180,25.3
2107,2018-12-18,MilkRecording,2018-05-24,2013-10-08,3,208,31.1
2107,2019-01-15,MilkRecording,2018-05-24,2013-10-08,3,236,28.9
2107,2019-02-12,MilkRecording,2018-05-24,2013-10-08,3,264,27.4
2107,2019-03-12,MilkRecording,2018-05-24,2013-10-08,3,292,25.8
2108,2019-08-13,MilkRecording,2019-08-03,2013-10-08,4,10,38.6
2108,2019-09-10,MilkRecording,2019-08-03,2013-10-08,4,38,46.7
2108,2019-10-08,MilkRecording,2019-08-03,2013-10-08,4,66,43.4
2108,2019-11-05,MilkRecording,2019-08-03,2013-10-08,4,94,33.7
2108,2019-12-03,MilkRecording,2019-08-03,2013-10-08,4,122,34.6
2108,2019-12-31,MilkRecording,2019-08-03,2013-10-08,4,150,36
2108,2020-01-28,MilkRecording,2019-08-03,2013-10-08,4,178,28
2108,2020-02-26,MilkRecording,2019-08-03,2013-10-08,4,207,27.4
2108,2020-03-31,MilkRecording,2019-08-03,2013-10-08,4,241,20.5
2108,2020-04-28,MilkRecording,2019-08-03,2013-10-08,4,269,16.3
2108,2020-05-26,MilkRecording,2019-08-03,2013-10-08,4,297,15.1
2112,2018-08-28,MilkRecording,2018-08-26,2013-10-14,3,2,0
2112,2018-09-25,MilkRecording,2018-08-26,2013-10-14,3,30,30.2
2112,2018-10-23,MilkRecording,2018-08-26,2013-10-14,3,58,40.6
2112,2018-11-20,MilkRecording,2018-08-26,2013-10-14,3,86,46.8
2112,2018-12-18,MilkRecording,2018-08-26,2013-10-14,3,114,47.3
2112,2019-01-15,MilkRecording,2018-08-26,2013-10-14,3,142,54.8
2112,2019-02-12,MilkRecording,2018-08-26,2013-10-14,3,170,48.2
2112,2019-03-12,MilkRecording,2018-08-26,2013-10-14,3,198,47.1
2112,2019-04-09,MilkRecording,2018-08-26,2013-10-14,3,226,46.6
2112,2019-05-21,MilkRecording,2018-08-26,2013-10-14,3,268,44.1
2112,2019-06-18,MilkRecording,2018-08-26,2013-10-14,3,296,43.7
2113,2020-01-28,MilkRecording,2020-01-01,2013-10-14,4,27,57.1
2113,2020-02-26,MilkRecording,2020-01-01,2013-10-14,4,56,65.5
2113,2020-03-31,MilkRecording,2020-01-01,2013-10-14,4,90,61.1
2113,2020-04-28,MilkRecording,2020-01-01,2013-10-14,4,118,63
2113,2020-05-26,MilkRecording,2020-01-01,2013-10-14,4,146,55.3
2113,2020-06-23,MilkRecording,2020-01-01,2013-10-14,4,174,33.8
2113,2020-07-21,MilkRecording,2020-01-01,2013-10-14,4,202,32.7
2113,2020-08-18,MilkRecording,2020-01-01,2013-10-14,4,230,40.5
2113,2020-09-15,MilkRecording,2020-01-01,2013-10-14,4,258,36.7
2113,2020-10-14,MilkRecording,2020-01-01,2013-10-14,4,287,20.9
2123,2018-12-18,MilkRecording,2018-12-09,2013-11-12,3,9,51.5
2123,2019-01-15,MilkRecording,2018-12-09,2013-11-12,3,37,75
2123,2019-02-12,MilkRecording,2018-12-09,2013-11-12,3,65,70.4
2123,2019-03-12,MilkRecording,2018-12-09,2013-11-12,3,93,60.3
2123,2019-04-09,MilkRecording,2018-12-09,2013-11-12,3,121,63.1
2123,2019-05-21,MilkRecording,2018-12-09,2013-11-12,3,163,60
2123,2019-06-18,MilkRecording,2018-12-09,2013-11-12,3,191,53.6
2123,2019-07-16,MilkRecording,2018-12-09,2013-11-12,3,219,49.2
2123,2019-08-13,MilkRecording,2018-12-09,2013-11-12,3,247,41.3
2123,2019-09-10,MilkRecording,2018-12-09,2013-11-12,3,275,39.9
2123,2019-10-08,MilkRecording,2018-12-09,2013-11-12,3,303,23.9
2134,2019-03-12,MilkRecording,2019-02-14,2013-12-19,4,26,37
2134,2019-04-09,MilkRecording,2019-02-14,2013-12-19,4,54,42.5
2134,2019-05-21,MilkRecording,2019-02-14,2013-12-19,4,96,34
2134,2019-06-18,MilkRecording,2019-02-14,2013-12-19,4,124,32.7
2134,2019-07-16,MilkRecording,2019-02-14,2013-12-19,4,152,37.5
2134,2019-08-13,MilkRecording,2019-02-14,2013-12-19,4,180,29.2
2134,2019-09-10,MilkRecording,2019-02-14,2013-12-19,4,208,23.9
2134,2019-10-08,MilkRecording,2019-02-14,2013-12-19,4,236,21.2
2134,2019-11-05,MilkRecording,2019-02-14,2013-12-19,4,264,21.9
2134,2019-12-03,MilkRecording,2019-02-14,2013-12-19,4,292,20.6
2137,2018-05-08,MilkRecording,2018-04-12,2014-01-09,3,26,61.5
2137,2018-06-05,MilkRecording,2018-04-12,2014-01-09,3,54,65.3
2137,2018-07-03,MilkRecording,2018-04-12,2014-01-09,3,82,58.1
2137,2018-07-31,MilkRecording,2018-04-12,2014-01-09,3,110,46.9
2137,2018-08-28,MilkRecording,2018-04-12,2014-01-09,3,138,45.2
2137,2018-09-25,MilkRecording,2018-04-12,2014-01-09,3,166,46.6
2137,2018-10-23,MilkRecording,2018-04-12,2014-01-09,3,194,47.8
2137,2018-11-20,MilkRecording,2018-04-12,2014-01-09,3,222,46.4
2137,2018-12-18,MilkRecording,2018-04-12,2014-01-09,3,250,48.5
2137,2019-01-15,MilkRecording,2018-04-12,2014-01-09,3,278,49.7
2143,2018-08-28,MilkRecording,2018-08-15,2014-01-21,3,13,43.5
2143,2018-09-25,MilkRecording,2018-08-15,2014-01-21,3,41,54.5
2143,2018-10-23,MilkRecording,2018-08-15,2014-01-21,3,69,65.4
2143,2018-11-20,MilkRecording,2018-08-15,2014-01-21,3,97,50.9
2143,2018-12-18,MilkRecording,2018-08-15,2014-01-21,3,125,55
2143,2019-01-15,MilkRecording,2018-08-15,2014-01-21,3,153,53
2143,2019-02-12,MilkRecording,2018-08-15,2014-01-21,3,181,34.5
2143,2019-03-12,MilkRecording,2018-08-15,2014-01-21,3,209,40.1
2143,2019-04-09,MilkRecording,2018-08-15,2014-01-21,3,237,40.4
2143,2019-05-21,MilkRecording,2018-08-15,2014-01-21,3,279,46.5
2147,2018-11-20,MilkRecording,2018-10-24,2014-03-01,3,27,49.4
2147,2018-12-18,MilkRecording,2018-10-24,2014-03-01,3,55,51.4
2147,2019-01-15,MilkRecording,2018-10-24,2014-03-01,3,83,49
2147,2019-02-12,MilkRecording,2018-10-24,2014-03-01,3,111,37.9
2147,2019-03-12,MilkRecording,2018-10-24,2014-03-01,3,139,37.8
2147,2019-04-09,MilkRecording,2018-10-24,2014-03-01,3,167,34
2147,2019-05-21,MilkRecording,2018-10-24,2014-03-01,3,209,35.1
2147,2019-06-18,MilkRecording,2018-10-24,2014-03-01,3,237,33.1
2147,2019-07-16,MilkRecording,2018-10-24,2014-03-01,3,265,27.8
2147,2019-08-13,MilkRecording,2018-10-24,2014-03-01,3,293,31.3
2148,2019-12-03,MilkRecording,2019-11-23,2014-03-01,4,10,43.7
2148,2019-12-31,MilkRecording,2019-11-23,2014-03-01,4,38,49.7
2148,2020-01-28,MilkRecording,2019-11-23,2014-03-01,4,66,45
2148,2020-02-26,MilkRecording,2019-11-23,2014-03-01,4,95,45.6
2148,2020-03-31,MilkRecording,2019-11-23,2014-03-01,4,129,34.4
2148,2020-04-28,MilkRecording,2019-11-23,2014-03-01,4,157,38.4
2148,2020-05-26,MilkRecording,2019-11-23,2014-03-01,4,185,39.1
2148,2020-06-23,MilkRecording,2019-11-23,2014-03-01,4,213,37.4
2148,2020-07-21,MilkRecording,2019-11-23,2014-03-01,4,241,35.4
2148,2020-08-18,MilkRecording,2019-11-23,2014-03-01,4,269,31.7
2148,2020-09-15,MilkRecording,2019-11-23,2014-03-01,4,297,34.7
2152,2019-03-12,MilkRecording,2019-03-05,2014-03-12,4,7,40.4
2152,2019-04-09,MilkRecording,2019-03-05,2014-03-12,4,35,55.3
2152,2019-05-21,MilkRecording,2019-03-05,2014-03-12,4,77,50.4
2152,2019-06-18,MilkRecording,2019-03-05,2014-03-12,4,105,50.8
2152,2019-07-16,MilkRecording,2019-03-05,2014-03-12,4,133,38.8
2152,2019-08-13,MilkRecording,2019-03-05,2014-03-12,4,161,40.6
2152,2019-09-10,MilkRecording,2019-03-05,2014-03-12,4,189,37.7
2152,2019-10-08,MilkRecording,2019-03-05,2014-03-12,4,217,33
2152,2019-11-05,MilkRecording,2019-03-05,2014-03-12,4,245,32.6
2152,2019-12-03,MilkRecording,2019-03-05,2014-03-12,4,273,26.5
2152,2019-12-31,MilkRecording,2019-03-05,2014-03-12,4,301,24.7
2153,2020-05-26,MilkRecording,2020-05-12,2014-03-12,5,14,50.6
2153,2020-06-23,MilkRecording,2020-05-12,2014-03-12,5,42,46
2153,2020-07-21,MilkRecording,2020-05-12,2014-03-12,5,70,54.1
2153,2020-08-18,MilkRecording,2020-05-12,2014-03-12,5,98,51
2153,2020-09-15,MilkRecording,2020-05-12,2014-03-12,5,126,50.9
2153,2020-10-14,MilkRecording,2020-05-12,2014-03-12,5,155,36.7
2153,2020-11-10,MilkRecording,2020-05-12,2014-03-12,5,182,41.7
2153,2020-12-08,MilkRecording,2020-05-12,2014-03-12,5,210,38.6
2153,2021-01-05,MilkRecording,2020-05-12,2014-03-12,5,238,39.4
2153,2021-02-02,MilkRecording,2020-05-12,2014-03-12,5,266,34.2
2153,2021-03-02,MilkRecording,2020-05-12,2014-03-12,5,294,23.3
2154,2021-07-20,MilkRecording,2021-07-06,2014-03-12,6,14,44
2154,2021-08-25,MilkRecording,2021-07-06,2014-03-12,6,50,50.3
2154,2021-09-22,MilkRecording,2021-07-06,2014-03-12,6,78,51
2154,2021-10-19,MilkRecording,2021-07-06,2014-03-12,6,105,44.2
2154,2021-11-16,MilkRecording,2021-07-06,2014-03-12,6,133,43.2
2154,2021-12-14,MilkRecording,2021-07-06,2014-03-12,6,161,36.8
2154,2022-01-11,MilkRecording,2021-07-06,2014-03-12,6,189,30.7
2154,2022-02-08,MilkRecording,2021-07-06,2014-03-12,6,217,33.1
2154,2022-03-08,MilkRecording,2021-07-06,2014-03-12,6,245,32.4
2154,2022-04-05,MilkRecording,2021-07-06,2014-03-12,6,273,30.3
2157,2018-09-25,MilkRecording,2018-09-15,2014-04-03,3,10,37.7
2157,2018-10-23,MilkRecording,2018-09-15,2014-04-03,3,38,54
2157,2018-11-20,MilkRecording,2018-09-15,2014-04-03,3,66,52.5
2157,2018-12-18,MilkRecording,2018-09-15,2014-04-03,3,94,47.6
2157,2019-01-15,MilkRecording,2018-09-15,2014-04-03,3,122,48.6
2157,2019-02-12,MilkRecording,2018-09-15,2014-04-03,3,150,41.1
2157,2019-03-12,MilkRecording,2018-09-15,2014-04-03,3,178,43.7
2157,2019-04-09,MilkRecording,2018-09-15,2014-04-03,3,206,37.5
2157,2019-05-21,MilkRecording,2018-09-15,2014-04-03,3,248,42
2157,2019-06-18,MilkRecording,2018-09-15,2014-04-03,3,276,37.8
2157,2019-07-16,MilkRecording,2018-09-15,2014-04-03,3,304,35.1
2160,2018-07-03,MilkRecording,2018-06-07,2014-04-09,3,26,42.2
